item	target-relation	LC_vector	AC_vector
volunteer@N@SBJ bring@V@ROOT  food@N@OBJ	RECIPIENT	None	0.122 0.066 0.122 -0.172 0.049 0.017 -0.174 -0.133 -0.220 -0.217
spy@N@SBJ pass@V@ROOT  information@N@OBJ	RECIPIENT	None	0.382 0.457 0.384 -0.743 -0.287 -0.054 -0.296 -0.270 -0.660 -0.394
dealer@N@SBJ sell@V@ROOT  car@N@OBJ	RECIPIENT	None	0.875 0.917 0.884 -0.826 -0.734 0.094 -0.827 -0.257 -1.471 -0.975
parent@N@SBJ give@V@ROOT  present@N@OBJ	RECIPIENT	None	16.402 20.160 8.917 -33.684 -2.063 -5.432 -3.082 -15.801 -19.841 -8.759
child@N@SBJ tell@V@ROOT  lie@N@OBJ	RECIPIENT	None	17.548 20.695 12.580 -35.649 -7.455 -9.046 -5.802 -13.175 -26.705 -13.151
child@N@SBJ lend@V@ROOT  pen@N@OBJ	RECIPIENT	None	14.122 18.044 7.705 -30.202 -5.333 -5.436 -5.191 -10.772 -17.009 -8.355
usurer@N@SBJ lend@V@ROOT  money@N@OBJ	RECIPIENT	None	39.454 46.039 32.606 -69.366 -24.005 -11.254 -23.713 -23.568 -63.058 -33.985
scientist@N@SBJ report@V@ROOT  finding@N@OBJ	RECIPIENT	None	1.822 1.942 4.015 -2.038 -3.368 0.862 -2.651 1.710 -1.849 -1.158
vandal@N@SBJ spray@V@ROOT  paint@N@OBJ	RECIPIENT	None	None
priest@N@SBJ teach@V@ROOT  bible@N@OBJ	RECIPIENT	None	25.996 30.326 21.030 -50.899 -14.037 -12.440 -12.059 -17.167 -42.548 -21.685
policeman@N@SBJ put@V@ROOT  criminal@N@OBJ	RECIPIENT	None	4.060 3.639 4.407 -4.694 -3.591 -0.249 -3.625 -1.164 -7.481 -4.509
waiter@N@SBJ bring@V@ROOT  glass@N@OBJ	RECIPIENT	None	569.799 700.587 393.018 -1194.941 -255.514 -287.898 -209.112 -406.778 -827.634 -412.237
president@N@SBJ give@V@ROOT  speech@N@OBJ	RECIPIENT	None	539.445 631.288 429.942 -1062.796 -285.282 -265.323 -240.595 -356.349 -871.513 -441.819
