item	target-relation	LC_vector	AC_vector
agent@N@SBJ sell@V@ROOT property@N@OBJ	SENTENCE	0.600 0.549 0.303 -0.383 -0.220 -0.129 0.036 -0.055 -0.153 0.090	0.641 0.407 0.449 -0.316 -0.231 -0.177 -0.059 -0.052 -0.157 -0.082
family@N@SBJ buy@V@ROOT home@N@OBJ	SENTENCE	0.440 0.531 0.531 -0.310 -0.208 -0.218 -0.064 -0.156 -0.166 -0.020	0.638 0.436 0.410 -0.329 -0.233 -0.184 -0.086 -0.095 -0.134 -0.056
agent@N@SBJ sell@V@ROOT property@N@OBJ	SENTENCE	0.488 0.566 0.445 -0.364 -0.245 -0.107 -0.033 -0.085 -0.179 -0.000	0.483 0.562 0.454 -0.359 -0.245 -0.116 -0.049 -0.093 -0.178 -0.010
group@N@SBJ hold@V@ROOT meeting@N@OBJ	SENTENCE	0.833 -0.151 0.212 -0.064 -0.141 -0.315 -0.196 -0.023 0.025 -0.276	0.533 0.516 0.455 -0.342 -0.245 -0.148 -0.078 -0.096 -0.164 -0.041
author@N@SBJ write@V@ROOT book@N@OBJ	SENTENCE	0.767 0.145 0.366 -0.190 -0.201 -0.297 -0.198 -0.081 -0.054 -0.208	0.657 0.350 0.439 -0.272 -0.232 -0.241 -0.160 -0.101 -0.114 -0.135
delegate@N@SBJ buy@V@ROOT land@N@OBJ	SENTENCE	0.466 0.573 0.456 -0.361 -0.245 -0.112 -0.049 -0.095 -0.180 -0.005	0.481 0.551 0.467 -0.348 -0.244 -0.137 -0.078 -0.104 -0.173 -0.027
author@N@SBJ write@V@ROOT book@N@OBJ	SENTENCE	0.727 0.223 0.401 -0.219 -0.214 -0.284 -0.193 -0.093 -0.076 -0.186	0.565 0.445 0.473 -0.300 -0.239 -0.213 -0.151 -0.117 -0.140 -0.100
man@N@SBJ hear@V@ROOT word@N@OBJ	SENTENCE	0.140 -0.245 0.121 -0.217 0.242 0.311 -0.575 0.227 -0.515 -0.236	0.567 0.442 0.473 -0.299 -0.239 -0.215 -0.153 -0.117 -0.139 -0.102
author@N@SBJ write@V@ROOT book@N@OBJ	SENTENCE	0.670 0.316 0.436 -0.255 -0.227 -0.259 -0.180 -0.105 -0.103 -0.154	0.603 0.401 0.463 -0.284 -0.236 -0.232 -0.165 -0.114 -0.127 -0.121
writer@N@SBJ read@V@ROOT word@N@OBJ	SENTENCE	0.477 0.520 0.492 -0.320 -0.242 -0.184 -0.139 -0.127 -0.160 -0.067	0.638 0.360 0.450 -0.271 -0.232 -0.245 -0.172 -0.109 -0.116 -0.137
case@N@SBJ require@V@ROOT attention@N@OBJ	SENTENCE	0.614 0.380 0.461 -0.274 -0.233 -0.244 -0.176 -0.116 -0.121 -0.133	0.667 0.322 0.437 -0.258 -0.228 -0.257 -0.178 -0.105 -0.105 -0.151
customer@N@SBJ pay@V@ROOT price@N@OBJ	SENTENCE	0.332 -0.075 -0.050 -0.328 -0.350 -0.304 0.277 -0.403 -0.564 0.037	0.679 0.312 0.430 -0.256 -0.227 -0.257 -0.174 -0.101 -0.102 -0.153
case@N@SBJ require@V@ROOT attention@N@OBJ	SENTENCE	0.614 0.380 0.461 -0.274 -0.233 -0.244 -0.176 -0.116 -0.121 -0.133	0.671 0.317 0.435 -0.256 -0.227 -0.258 -0.178 -0.104 -0.104 -0.153
patient@N@SBJ need@V@ROOT treatment@N@OBJ	SENTENCE	0.660 0.331 0.440 -0.260 -0.229 -0.254 -0.177 -0.106 -0.107 -0.148	0.678 0.308 0.431 -0.253 -0.226 -0.260 -0.179 -0.102 -0.101 -0.156
charity@N@SBJ help@V@ROOT people@N@OBJ	SENTENCE	-0.148 -0.248 -0.135 0.022 0.194 0.069 -0.619 0.191 -0.366 -0.549	0.690 0.291 0.425 -0.247 -0.224 -0.264 -0.180 -0.100 -0.096 -0.161
panel@N@SBJ discuss@V@ROOT issue@N@OBJ	SENTENCE	0.368 0.086 0.107 0.211 -0.012 0.344 -0.421 0.078 -0.688 -0.163	0.645 0.350 0.447 -0.267 -0.231 -0.249 -0.174 -0.108 -0.113 -0.141
charity@N@SBJ help@V@ROOT people@N@OBJ	SENTENCE	-0.148 -0.248 -0.135 0.022 0.194 0.069 -0.619 0.191 -0.366 -0.549	0.707 0.266 0.414 -0.238 -0.221 -0.270 -0.182 -0.096 -0.089 -0.169
